Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,177.449997,177.929993,177.130005,177.910004,177.910004,6498400
2020-11-03,178.949997,179.389999,178.300003,178.919998,178.919998,7577200
2020-11-04,178.929993,179.190002,177.660004,178.820007,178.820007,11117300
2020-11-05,181.000000,183.289993,180.970001,182.929993,182.929993,16102800
2020-11-06,183.399994,183.529999,182.190002,183.190002,183.190002,10378300
2020-11-09,176.419998,176.449997,173.639999,175.080002,175.080002,29800700
2020-11-10,176.750000,176.910004,175.660004,175.660004,175.660004,11728500
2020-11-11,174.699997,175.279999,174.440002,174.899994,174.899994,9008500
2020-11-12,176.039993,176.770004,175.839996,175.960007,175.960007,7167900
2020-11-13,177.649994,177.800003,176.839996,177.160004,177.160004,6469800
2020-11-16,177.229996,177.910004,176.869995,177.149994,177.149994,8358500
2020-11-17,177.250000,177.440002,176.089996,176.500000,176.500000,8229100
2020-11-18,176.259995,176.860001,175.350006,175.490005,175.490005,7384700
2020-11-19,174.300003,175.220001,174.169998,175.160004,175.160004,6965100
2020-11-20,176.119995,176.380005,175.580002,175.690002,175.690002,6379400
2020-11-23,175.100006,175.240005,171.779999,172.229996,172.229996,15510600
2020-11-24,169.300003,169.690002,168.860001,169.589996,169.589996,19504000
2020-11-25,169.979996,170.520004,169.240005,169.509995,169.509995,10286600
2020-11-27,166.899994,167.830002,166.779999,167.789993,167.789993,10569100
2020-11-30,166.679993,167.429993,166.029999,166.669998,166.669998,13210000
2020-12-01,169.759995,170.479996,169.300003,170.179993,170.179993,13533300
2020-12-02,170.570007,171.759995,170.149994,171.460007,171.460007,9199700
2020-12-03,172.639999,172.850006,171.080002,172.809998,172.809998,10457300
2020-12-04,172.779999,173.320007,171.589996,172.320007,172.320007,10098600
2020-12-07,172.559998,175.289993,172.509995,174.889999,174.889999,10555100
2020-12-08,175.509995,175.929993,174.720001,175.500000,175.500000,6348400
2020-12-09,173.919998,174.039993,171.240005,172.500000,172.500000,10743200
2020-12-10,172.899994,173.580002,171.699997,172.169998,172.169998,6564000
2020-12-11,172.250000,173.320007,172.110001,172.490005,172.490005,6084800
2020-12-14,171.910004,172.520004,170.910004,171.539993,171.539993,7644400
2020-12-15,173.429993,173.979996,173.059998,173.940002,173.940002,6840500
