Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,25.160000,26.290001,25.139999,26.260000,26.260000,5385100
2020-11-03,26.940001,27.010000,26.450001,26.719999,26.719999,7241300
2020-11-04,27.120001,27.629999,26.690001,27.440001,27.440001,5982500
2020-11-05,27.410000,27.700001,27.080000,27.160000,27.160000,5115000
2020-11-06,26.830000,26.870001,26.200001,26.469999,26.469999,5117700
2020-11-09,28.590000,28.820000,28.059999,28.070000,28.070000,9840300
2020-11-10,28.660000,28.969999,28.469999,28.910000,28.910000,6602400
2020-11-11,29.700001,29.750000,28.920000,29.040001,29.040001,6376600
2020-11-12,29.209999,29.440001,28.620001,28.660000,28.660000,6070900
2020-11-13,28.520000,28.570000,28.059999,28.129999,28.129999,4367600
2020-11-16,29.120001,29.170000,28.660000,28.809999,28.809999,4576600
2020-11-17,28.570000,29.020000,28.480000,28.870001,28.870001,3613700
2020-11-18,29.070000,29.360001,28.959999,29.000000,29.000000,4112100
2020-11-19,28.930000,29.139999,28.750000,29.090000,29.090000,2934300
2020-11-20,28.930000,29.360001,28.920000,29.270000,29.270000,4907100
2020-11-23,29.580000,29.719999,29.410000,29.520000,29.520000,4398000
2020-11-24,30.230000,31.030001,30.209999,30.799999,30.799999,9091700
2020-11-25,31.299999,31.680000,31.020000,31.370001,31.370001,5865600
2020-11-27,31.120001,31.360001,31.030001,31.219999,31.219999,2904900
2020-11-30,31.120001,31.290001,30.680000,30.969999,30.969999,6778500
2020-12-01,30.920000,30.959999,30.340000,30.620001,30.620001,4536800
2020-12-02,30.580000,31.430000,30.580000,30.969999,30.969999,7064300
2020-12-03,30.889999,31.360001,30.809999,31.250000,31.250000,5559700
2020-12-04,31.309999,31.740000,31.280001,31.559999,31.559999,6930200
2020-12-07,31.440001,31.870001,31.309999,31.400000,31.400000,4785400
2020-12-08,31.219999,31.469999,31.040001,31.410000,31.410000,3786000
2020-12-09,31.549999,31.660000,30.900000,31.340000,31.340000,7632800
2020-12-10,31.840000,32.650002,31.830000,32.110001,32.110001,7572000
2020-12-11,32.029999,32.130001,31.770000,31.940001,31.940001,3394000
2020-12-14,32.139999,32.230000,31.370001,32.169998,32.169998,4877200
2020-12-15,32.320000,32.619999,32.250000,32.540001,32.540001,3503300
2020-12-16,32.549999,32.810001,32.320000,32.740002,32.740002,4349300
2020-12-17,33.009998,33.230000,32.919998,33.160000,33.160000,4534000
2020-12-18,33.330002,33.669998,33.259998,33.480000,33.480000,4759000
2020-12-21,32.180000,32.840000,32.119999,32.639999,32.639999,6144300
2020-12-22,32.279999,32.470001,32.000000,32.090000,32.090000,3749600
2020-12-23,32.330002,33.080002,32.330002,32.750000,32.750000,5077500
2020-12-24,32.660000,32.919998,32.570000,32.919998,32.919998,1694300
2020-12-28,32.880001,33.049999,32.509998,32.590000,32.590000,4917500
2020-12-29,32.950001,32.990002,32.660000,32.779999,32.779999,3631000
2020-12-30,32.580002,33.220001,32.549999,32.910000,32.910000,4840000
2020-12-31,32.730000,33.099998,32.630001,33.009998,33.009998,4424600
2021-01-04,33.000000,33.290001,32.240002,32.380001,32.380001,14340200
2021-01-05,33.380001,34.119999,33.380001,33.939999,33.939999,13616800
2021-01-06,33.939999,34.470001,33.560001,34.110001,34.110001,7461100
2021-01-07,34.349998,34.590000,34.290001,34.529999,34.529999,4103100
2021-01-08,34.930000,35.500000,34.750000,35.430000,35.430000,7554600
2021-01-11,34.880001,35.410000,34.810001,35.259998,35.259998,5100500
2021-01-12,35.650002,36.009998,35.570000,35.900002,35.900002,4185800
2021-01-13,35.770000,36.099998,35.599998,35.799999,35.799999,4457000
2021-01-14,35.700001,36.320000,35.610001,36.240002,36.240002,5175000
2021-01-15,35.720001,35.820000,35.130001,35.340000,35.340000,5492200
2021-01-19,35.709999,35.889999,35.529999,35.750000,35.750000,3804300
2021-01-20,36.139999,36.200001,35.689999,35.790001,35.790001,3222600
2021-01-21,35.820000,36.000000,35.639999,35.759998,35.759998,3010300
2021-01-22,34.959999,35.619999,34.910000,35.230000,35.230000,4673300
2021-01-25,35.110001,35.660000,35.029999,35.590000,35.590000,4134500
2021-01-26,35.689999,35.799999,35.380001,35.450001,35.450001,2628100
2021-01-27,35.410000,35.930000,35.020000,35.500000,35.500000,4918800
2021-01-28,35.919998,36.009998,35.220001,35.250000,35.250000,5409000
2021-01-29,35.639999,35.770000,35.110001,35.180000,35.180000,3916100
2021-02-01,35.770000,36.180000,35.250000,36.119999,36.119999,6051400
2021-02-02,36.970001,37.049999,36.720001,36.820000,36.820000,6274700
2021-02-03,37.189999,37.779999,37.189999,37.439999,37.439999,6804100
2021-02-04,37.610001,37.950001,37.200001,37.810001,37.810001,5033700
2021-02-05,38.330002,38.400002,37.950001,38.189999,38.189999,4379100
2021-02-08,38.470001,38.980000,38.470001,38.939999,38.939999,4216200
2021-02-09,38.700001,39.209999,38.520000,39.169998,39.169998,4904300
2021-02-10,39.240002,39.470001,39.009998,39.279999,39.279999,5053600
2021-02-11,39.320000,39.380001,38.869999,38.970001,38.970001,3738000
2021-02-12,39.009998,40.070000,39.009998,39.939999,39.939999,5785100
2021-02-16,40.189999,40.470001,40.049999,40.450001,40.450001,5467400
2021-02-17,40.270000,40.959999,40.130001,40.889999,40.889999,7391500
2021-02-18,41.090000,41.130001,40.110001,40.270000,40.270000,6708600
2021-02-19,40.259998,40.490002,39.549999,39.680000,39.680000,5537500
2021-02-22,40.549999,41.419998,40.549999,41.279999,41.279999,5814300
2021-02-23,41.150002,41.730000,40.740002,41.619999,41.619999,5638200
2021-02-24,41.880001,42.570000,41.790001,42.500000,42.500000,6504700
2021-02-25,42.320000,42.770000,42.150002,42.459999,42.459999,4515200
2021-02-26,42.119999,42.139999,41.119999,41.310001,41.310001,5913100
2021-03-01,41.299999,41.610001,40.310001,40.599998,40.599998,6956000
2021-03-02,40.950001,41.070000,40.070000,40.070000,40.070000,8272200
2021-03-03,40.880001,41.650002,40.549999,41.139999,41.139999,4764400
2021-03-04,41.869999,43.459999,41.500000,43.070000,43.070000,11815300
2021-03-05,44.080002,44.509998,43.910000,44.439999,44.439999,7883300
2021-03-08,44.119999,44.240002,43.430000,43.500000,43.500000,5083900
2021-03-09,43.730000,43.820000,43.070000,43.110001,43.110001,5503200
2021-03-10,43.279999,43.810001,42.790001,43.740002,43.740002,5733300
2021-03-11,43.910000,44.639999,43.709999,44.599998,44.599998,6588700
2021-03-12,44.360001,44.630001,44.230000,44.349998,44.349998,4643200
2021-03-15,43.900002,44.340000,43.459999,44.259998,44.259998,5710000
2021-03-16,43.570000,44.099998,43.320000,43.830002,43.830002,4932400
2021-03-17,43.689999,43.930000,43.240002,43.820000,43.820000,5837900
2021-03-18,42.990002,43.060001,39.709999,40.470001,40.470001,18801800
2021-03-19,40.830002,41.990002,40.259998,41.770000,41.770000,6430000
2021-03-22,41.970001,42.180000,41.590000,41.709999,41.709999,4162300
2021-03-23,40.290001,40.910000,39.270000,39.369999,39.369999,12356900
2021-03-24,40.689999,41.830002,40.529999,41.450001,41.450001,11330200
2021-03-25,40.470001,40.619999,39.310001,39.889999,39.889999,9477000
2021-03-26,41.380001,41.830002,41.250000,41.529999,41.529999,10091000
2021-03-29,41.230000,41.959999,40.950001,41.919998,41.919998,6376300
2021-03-30,41.160000,41.660000,41.040001,41.169998,41.169998,4151600
2021-03-31,40.990002,41.700001,40.220001,40.529999,40.529999,6368600
2021-04-01,41.470001,42.180000,40.299999,41.840000,41.840000,11598400
2021-04-05,41.209999,41.259998,39.520000,40.279999,40.279999,9801000
2021-04-06,41.160000,41.689999,40.580002,40.700001,40.700001,6734200
2021-04-07,40.540001,41.049999,39.910000,40.860001,40.860001,9987600
2021-04-08,40.639999,40.930000,40.270000,40.820000,40.820000,4288200
2021-04-09,40.619999,40.869999,40.480000,40.639999,40.639999,3705600
2021-04-12,41.279999,41.570000,40.770000,40.900002,40.900002,5998400
2021-04-13,41.330002,41.480000,41.150002,41.400002,41.400002,5063600
2021-04-14,42.150002,43.389999,42.009998,43.040001,43.040001,9353500
2021-04-15,43.060001,43.439999,42.880001,43.270000,43.270000,4391600
2021-04-16,43.340000,43.380001,42.980000,43.180000,43.180000,4680000
2021-04-19,43.220001,43.490002,43.049999,43.320000,43.320000,3324500
2021-04-20,43.349998,43.419998,42.040001,42.740002,42.740002,6415200
2021-04-21,41.790001,42.549999,41.720001,41.770000,41.770000,5800300
2021-04-22,42.240002,42.259998,41.599998,42.090000,42.090000,3278100
2021-04-23,41.910000,42.610001,41.849998,42.459999,42.459999,4206300
2021-04-26,41.779999,42.520000,41.740002,42.330002,42.330002,3150900
2021-04-27,42.660000,43.189999,42.480000,43.110001,43.110001,3454400
2021-04-28,43.439999,43.970001,43.360001,43.529999,43.529999,5500900
2021-04-29,44.470001,44.610001,43.840000,44.259998,44.259998,5920400
2021-04-30,43.380001,43.549999,43.049999,43.270000,43.270000,5007000
2021-05-03,43.560001,44.090000,43.549999,43.980000,43.980000,3309500
